BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	g1k_analysis_group_s	g1k_pop_code_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	investigation_type_s	project_name_s	sequencing_method_s	source_s
SAMEA3444308	ERX986193	MBA4001_ACAGTG	647	378	ERR906933	ERS743440	MBA4001	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444309	ERX986194	MBA4009_GCCAAT	698	392	ERR906934	ERS743441	MBA4009	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444310	ERX986195	MBA4010_CAGATC	692	390	ERR906935	ERS743442	MBA4010	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444311	ERX986196	MBA4011_ACTTGA	670	381	ERR906936	ERS743443	MBA4011	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444312	ERX986197	MBA4024_ACAGTG	443	224	ERR906937	ERS743444	MBA4024	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444313	ERX986198	MBA4025_GCCAAT	423	224	ERR906938	ERS743445	MBA4025	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444314	ERX986199	MBA4026_ATCACG	511	296	ERR906939	ERS743446	MBA4026	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444315	ERX986200	MBA4027_CGATGT	487	283	ERR906940	ERS743447	MBA4027	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444316	ERX986201	MBA4028_TTAGGC	374	246	ERR906941	ERS743448	MBA4028	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444317	ERX986202	MBA4031_ATCACG	580	302	ERR906942	ERS743449	MBA4031	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444318	ERX986203	MBA4038_TGACCA	384	232	ERR906943	ERS743450	MBA4038	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444319	ERX986204	MBA4039_ACAGTG	454	264	ERR906944	ERS743451	MBA4039	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444320	ERX986205	MBA4040_TTAGGC	427	227	ERR906945	ERS743452	MBA4040	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
